Model,K-Folds,Mean Accuracy,Std Dev Accuracy,Min Accuracy,Max Accuracy,Mean F1-Score,Mean Precision,Mean Recall
Simple Average,3,0.8681094773941296,0.0036603357801385456,0.8655212291425739,0.873285973897241,0.8686315273758242,0.870944475758526,0.8681094773941296
Hard Voting,3,0.8704774491987445,0.0021199819984492685,0.8686601685114819,0.8734511812324467,0.8710307556074212,0.8730424892955447,0.8704774491987445
Rank Averaging,3,0.7317583567377057,0.0017553144391771933,0.7295555922682967,0.7338509829836445,0.7880355552034986,0.8962706470135432,0.7317583567377057
Geometric Mean,3,0.8625474971088716,0.003273718585319001,0.8580868990583181,0.8658516438129853,0.8633226996489899,0.86564229999497,0.8625474971088716
Simple Average,5,0.8681092786419441,0.0042000976232402214,0.8634361233480177,0.8752753303964758,0.8686189980204148,0.8709473661820407,0.8681092786419441
Hard Voting,5,0.8704772565415044,0.004319382505440745,0.865363436123348,0.8769273127753304,0.871025216478925,0.8730914042683319,0.8704772565415044
Rank Averaging,5,0.7320335049263743,0.005165378293640276,0.726046255506608,0.739262114537445,0.7882785064946191,0.8964657144330215,0.7320335049263743
Geometric Mean,5,0.8625471345013631,0.00651046977459691,0.8559625447535114,0.8727973568281938,0.8633193576134941,0.865699986713065,0.8625471345013631
Simple Average,10,0.868109306925887,0.00719239992833468,0.8595814977973568,0.8821585903083701,0.8685999802317937,0.8709549946265689,0.868109306925887
Hard Voting,10,0.8704771786750161,0.009134966857552997,0.8584801762114538,0.8887665198237885,0.8710184841544022,0.8731110399457294,0.8704771786750161
Rank Averaging,10,0.7323087098457544,0.008385493510282206,0.7125550660792952,0.7422907488986784,0.7885568346544876,0.8968432066233349,0.7323087098457544
Geometric Mean,10,0.862546753073385,0.010042258773981074,0.8480176211453745,0.8794052863436124,0.8633101443067467,0.865732461960317,0.862546753073385
Weighted Average,3,0.8729555592268298,0.003223307588889694,0.8694862051875103,0.8772509499421774,0.872436803672762,0.8725979430365386,0.8729555592268298
Weighted Average,5,0.8733408898168852,0.005195802248595677,0.8659140969162996,0.8816079295154186,0.8728228405673644,0.8729880991687613,0.8733408898168852
Weighted Average,10,0.872955485977112,0.009931309538838284,0.8595814977973568,0.88931718061674,0.872418180883496,0.8726266491034049,0.872955485977112
Stacking (LogReg),3,0.8770857426069717,0.0023634851846329524,0.8742772179084751,0.880059474640674,0.8743458076814954,0.8736158365754573,0.8770857426069717
Stacking (LogReg),5,0.8767551990507585,0.0049242169040481275,0.8708700440528634,0.885737885462555,0.8739685106578994,0.873267312290295,0.8767551990507585
Stacking (LogReg),10,0.8767554702006043,0.00843869430510625,0.8656387665198237,0.8926211453744494,0.8739496872019415,0.8733293326842573,0.8767554702006043
Stacking (RandomForest),3,0.8775813646125888,0.0021199819984492685,0.8757640839253262,0.8805550966462911,0.8745555843074708,0.873633910856002,0.8775813646125888
Stacking (RandomForest),5,0.8784073785816459,0.0030149709868304976,0.8741740088105727,0.8824339207048458,0.8754562824769436,0.8747028655922959,0.8784073785816459
Stacking (RandomForest),10,0.8769206380990522,0.008933043246864834,0.8639867841409692,0.88931718061674,0.8740194602553212,0.8729628119208279,0.8769206380990522
Stacking (GradBoost),3,0.8725150063329479,0.0022260458099463178,0.8698166198579217,0.8752684619197092,0.8691053405150923,0.8679883477836215,0.8725150063329479
Stacking (GradBoost),5,0.8724047664688677,0.004670762534638374,0.8675660792951542,0.8813325991189427,0.868769738337754,0.8676496060518817,0.8724047664688677
Stacking (GradBoost),10,0.8730105823958446,0.009805431382923823,0.8573788546255506,0.8865638766519823,0.8692039216473363,0.868124084213061,0.8730105823958446
